HS,SRF,KCNMB1,2,0
HS,SP1,KCTD11,2,0
HS,FOXO1,KLF2,2,0
HS,GATA3,KLRC1,3,0
HS,KLF4,KRT4,2,0
HS,SP1,LHX4,3,0
HS,SP1,LIPE,2,0
HS,SRF,LMOD1,2,0
HS,HNF1A,LST1,3,0
HS,STAT1,LY96,3,0
HS,RELA,LZTS2,5,0
HS,HES1,MAP2,1,0
HS,E2F1,MAP3K5,1,0
HS,ETS1,MCL1,3,0
HS,WT1,MDK,2,0
HS,SP1,ME2,2,0
HS,TP53,MFN2,2,0
HS,ETS1,MGAT5,3,0
HS,SP1,MGST1,3,0
HS,SP1,MIER1,2,0
HS,SP1,MKI67,3,0
HS,MITF,MLANA,3,0
HS,SP1,MMP14,3,0
HS,IRF1,MPI,1,0
HS,STAT1,MSR1,4,0
HS,SP1,MST1R,3,0
HS,RELA,MUC7,3,0
HS,STAT1,MVP,3,0
HS,SP1,MXI1,2,0
HS,SP1,MYBL2,2,0
HS,MYC,MYCT1,3,0
HS,SRF,MYL3,1,0
HS,FOS,MYLK,4,0
HS,SNAI1,MYO5A,1,0
HS,FOS,MYOC,4,0
HS,E2F1,NCOA3,2,0
HS,RELA,NFKB2,3,0
HS,RBPJ,NFKBIA,4,0
HS,TP53,NLRC4,2,0
HS,IRF1,NOD1,3,0
HS,CREB1,NOLC1,5,0
HS,MYC,NOP16,4,0
HS,SP1,NOP2,4,0
HS,SP1,NOXO1,5,0
HS,HNF1A,NPC1L1,3,0
HS,PPARG,NPHS1,5,0
HS,YY1,NPM1,2,0
HS,HNF1A,NR1H4,3,0
HS,HNF4A,NR1I2,1,0
HS,NR3C1,NR1I3,2,0
HS,FOXO3,NR2C2,1,0
HS,CREB1,NR4A2,3,0
HS,CREB1,NR4A3,3,0
HS,LEF1,NRCAM,2,0
HS,WT1,NTRK2,2,0
HS,NFKB1,OLFM4,3,0
HS,RELA,OPTN,3,0
HS,STAT5B,OSM,3,0
HS,SP1,P2RX4,3,0
HS,E2F1,PA2G4,1,0
HS,HNF4A,PAK7,3,0
HS,SP1,PARK7,3,0
HS,YY1,PARP1,3,0
HS,RBPJ,PBX1,2,0
HS,EGR1,PCSK2,2,0
HS,ARNT,PFKFB3,2,0
HS,SP1,PFKM,2,0
HS,STAT5B,PIP,1,0
HS,HNF4A,PKLR,3,0
HS,NR3C1,PLA2G4A,3,0
HS,TP53,PLAGL1,2,0
HS,HNF4A,PLCB1,3,0
HS,YY1,PLP1,2,0
HS,RXRA,PLTP,2,0
HS,MITF,PMEL,3,0
HS,SP1,PNOC,3,0
HS,FOS,POLA1,5,0
HS,SP1,PON1,2,0
HS,YY1,PPP2R4,2,0
HS,FOXO3,PRDX3,5,0
HS,SP1,PRKRA,3,0
HS,ETS1,PROM1,4,0
HS,CTNNB1,PROX1,2,0
HS,SP1,PRSS50,3,0
HS,SP1,PSAP,3,0
HS,IRF2,PSEN2,3,0
HS,CREB1,PSENEN,4,0
HS,GATA3,PTGDR2,2,0
HS,IRF8,PTPN13,3,0
HS,E2F1,PTPRO,1,0
HS,EGR1,PTPRZ1,3,0
HS,CREB1,RAB25,3,0
HS,MITF,RAB27A,3,0
HS,TFAP2A,RAD51,3,0
HS,RXRA,RARG,2,0
HS,FOXO4,RBL2,1,0
HS,STAT3,REG1A,3,0
HS,GLI1,REG4,3,0
HS,SP1,REL,2,0
HS,SP1,RELA,3,0
HS,HES1,REST,3,0
HS,MYC,RIOK1,2,0
HS,STAT3,ROR1,3,0
HS,HNF4A,RPS6KA6,3,0
HS,SP1,S100A10,4,0
HS,TP53,S100B,2,0
HS,SP1,SCARF1,2,0
HS,TP53,SCN3B,3,0
HS,TP53,SEMA3B,2,0
HS,SP1,SERPINA5,3,0
HS,NR3C1,SGK1,3,0
HS,HNF1A,SLC22A10,1,0
HS,HNF4A,SLC22A7,3,0
HS,HNF1A,SLC22A9,1,0
HS,HNF4A,SLC28A1,3,0
HS,SP1,SLC3A2,3,0
HS,KLF4,SLC5A6,3,0
HS,SP1,SLC7A1,2,0
HS,SP1,SMARCA1,5,0
HS,RBPJ,SNAI2,4,0
HS,PARP1,SNCA,2,0
HS,SP1,SNCG,3,0
HS,EGR1,SOX18,2,0
HS,IRF1,SP110,1,0
HS,SP1,SPHK1,3,0
HS,FOS,SPRR3,4,0
HS,EGR1,SRD5A1,3,0
HS,ELK1,SRF,3,0
HS,EBF1,STMN2,2,0
HS,TP53,SUB1,2,0
HS,ETS1,TAF12,3,0
HS,NR3C1,TAT,4,0
HS,FOS,TBXAS1,4,0
HS,GATA3,TEK,2,0
HS,SP1,TERF2,3,0
HS,SP1,TGFBR1,2,0
HS,GATA3,TGFBR3,3,0
HS,RARA,THPO,2,0
HS,SP1,TICAM1,4,0
HS,SP1,TINF2,2,0
HS,SFN,TLR10,2,0
HS,IRF1,TLR7,3,0
HS,SP1,TNFAIP1,2,0
HS,TP53,TNFRSF10C,3,0
HS,FOXO3,TNFRSF1B,3,0
HS,RELA,TNFSF15,3,0
HS,MEF2C,TNNI1,2,0
HS,TP53,TP53AIP1,2,0
HS,SP1,TPI1,2,0
HS,MITF,TPSAB1,3,0
HS,LEF1,TRAC,2,0
HS,HNF4A,TREH,3,0
HS,IRF1,TRIM22,3,0
HS,HNF4A,TRPC1,3,0
HS,STAT3,TWIST1,2,0
HS,SP1,TYMS,1,0
HS,SP1,UGDH,3,0
HS,HNF1A,UGT2B7,2,0
HS,TFAP2A,UNG,1,0
HS,SP1,UPK1B,2,0
HS,ETS1,WAS,4,0
HS,NR3C1,WNK4,3,0
HS,NFATC2,XCL1,3,0
HS,JUN,XYLT1,2,0
HS,SRF,ZC3H12A,5,0
HS,CREB1,ZNF268,4,0
HS,SP1,ABCC3,1,0
HS,RXRA,ACADM,2,0
HS,HNF1A,ACAT2,3,0
HS,EGR1,ACE,3,0
HS,HNF4A,ACE,3,0
HS,HNF4A,ACE2,3,0
HS,E2F1,AIM1,3,0
HS,E2F4,AIM1,3,0
HS,ETS1,AIRE,3,0
HS,SMAD3,ANKRD1,2,0
HS,SMAD4,ANKRD1,2,0
HS,E2F1,APAF1,4,0
HS,TP53,APAF1,1,0
HS,SP1,APEX1,2,0
HS,SP1,APOBEC3G,3,0
HS,HNF4A,APOM,3,0
HS,SP1,ATP2A2,3,0
HS,SP1,ATP2C1,1,0
HS,YY1,ATP2C1,1,0
HS,SP1,ATXN3,3,0
HS,CREB1,B3GAT1,3,0
HS,SP1,B3GAT1,3,0
HS,TP53,BBC3,2,0
HS,TP73,BBC3,2,0
HS,E2F1,BCL2L11,1,0
HS,FOXO3,BCL2L11,3,0
HS,RBPJ,BCL3,4,0
HS,RELA,BCL3,1,0
HS,SP1,BSG,3,0
HS,ETS1,C3AR1,4,0
HS,FOS,C3AR1,5,0
HS,RXRA,CABP1,2,0
HS,MYC,CAD,4,0
HS,SP1,CAD,3,0
HS,YY1,CAMKMT,3,0
HS,ETS1,CASP1,1,0
HS,TP53,CASP1,3,0
