Species	geneA	geneB	confidence	geneRegType
HS	RHOA	MAPK8	1	3
HS	RHOA	MAPK9	1	3
HS	RHOA	MAPK10	1	3
HS	RHOA	DAAM1	1	5
HS	RHOA	DAAM2	1	5
HS	RHOA	ROCK2	1	4
HS	DAAM1	DVL1	1	6
HS	DAAM1	DVL2	1	6
HS	DAAM1	DVL3	1	6
HS	DAAM2	DVL1	1	6
HS	DAAM2	DVL2	1	6
HS	DAAM2	DVL3	1	6
HS	DVL1	RAC1	1	3
HS	DVL1	RAC2	1	3
HS	DVL1	RAC3	1	3
HS	DVL1	GSK3B	1	7
HS	DVL1	CSNK2A1	1	6
HS	DVL1	CSNK2A2	1	6
HS	DVL1	CSNK2B	1	6
HS	DVL1	VANGL2	1	6
HS	DVL1	VANGL1	1	6
HS	DVL1	PRICKLE1	1	6
HS	DVL1	PRICKLE2	1	6
HS	DVL2	RAC1	1	3
HS	DVL2	RAC2	1	3
HS	DVL2	RAC3	1	3
HS	DVL2	GSK3B	1	7
HS	DVL2	CSNK2A1	1	6
HS	DVL2	CSNK2A2	1	6
HS	DVL2	CSNK2B	1	6
HS	DVL2	VANGL2	1	6
HS	DVL2	VANGL1	1	6
HS	DVL2	PRICKLE1	1	6
HS	DVL2	PRICKLE2	1	6
HS	DVL3	RAC1	1	3
HS	DVL3	RAC2	1	3
HS	DVL3	RAC3	1	3
HS	DVL3	GSK3B	1	7
HS	DVL3	CSNK2A1	1	6
HS	DVL3	CSNK2A2	1	6
HS	DVL3	CSNK2B	1	6
HS	DVL3	VANGL2	1	6
HS	DVL3	VANGL1	1	6
HS	DVL3	PRICKLE1	1	6
HS	DVL3	PRICKLE2	1	6
HS	PRICKLE1	VANGL2	1	6
HS	PRICKLE1	VANGL1	1	6
HS	PRICKLE2	VANGL2	1	6
HS	PRICKLE2	VANGL1	1	6
HS	WNT11	FZD10	1	4
HS	WNT11	FZD2	1	4
HS	WNT11	FZD5	1	4
HS	WNT11	FZD3	1	4
HS	WNT11	FZD1	1	4
HS	WNT11	FZD4	1	4
HS	WNT11	FZD6	1	4
HS	WNT11	FZD7	1	4
HS	WNT11	FZD8	1	4
HS	WNT11	FZD9	1	4
HS	WNT11	LRP6	1	4
HS	WNT11	LRP5	1	4
HS	CTBP1	LEF1	1	7
HS	CTBP1	TCF7	1	7
HS	CTBP1	TCF7L2	1	7
HS	CTBP1	TCF7L1	1	7
HS	CTBP2	LEF1	1	7
HS	CTBP2	TCF7	1	7
HS	CTBP2	TCF7L2	1	7
HS	CTBP2	TCF7L1	1	7
HS	SOX17	LEF1	1	7
HS	SOX17	TCF7	1	7
HS	SOX17	TCF7L2	1	7
HS	SOX17	TCF7L1	1	7
HS	SMAD4	LEF1	1	4
HS	SMAD4	TCF7	1	4
HS	SMAD4	TCF7L2	1	4
HS	SMAD4	TCF7L1	1	4
HS	LEF1	MYC	1	8
HS	LEF1	JUN	1	8
HS	LEF1	FOSL1	1	8
HS	LEF1	CCND1	1	8
HS	LEF1	CCND2	1	8
HS	LEF1	CCND3	1	8
HS	LEF1	PPARD	1	8
HS	LEF1	MMP7	1	8
HS	TCF7	MYC	1	8
HS	TCF7	JUN	1	8
HS	TCF7	FOSL1	1	8
HS	TCF7	CCND1	1	8
HS	TCF7	CCND2	1	8
HS	TCF7	CCND3	1	8
HS	TCF7	PPARD	1	8
HS	TCF7	MMP7	1	8
HS	TCF7L2	MYC	1	8
HS	TCF7L2	JUN	1	8
HS	TCF7L2	FOSL1	1	8
HS	TCF7L2	CCND1	1	8
HS	TCF7L2	CCND2	1	8
HS	TCF7L2	CCND3	1	8
HS	TCF7L2	PPARD	1	8
HS	TCF7L2	MMP7	1	8
HS	TCF7L1	MYC	1	8
HS	TCF7L1	JUN	1	8
HS	TCF7L1	FOSL1	1	8
HS	TCF7L1	CCND1	1	8
HS	TCF7L1	CCND2	1	8
HS	TCF7L1	CCND3	1	8
HS	TCF7L1	PPARD	1	8
HS	TCF7L1	MMP7	1	8
HS	CREBBP	LEF1	1	6
HS	CREBBP	TCF7	1	6
HS	CREBBP	TCF7L2	1	6
HS	CREBBP	TCF7L1	1	6
HS	EP300	LEF1	1	6
HS	EP300	TCF7	1	6
HS	EP300	TCF7L2	1	6
HS	EP300	TCF7L1	1	6
HS	RUVBL1	LEF1	1	6
HS	RUVBL1	TCF7	1	6
HS	RUVBL1	TCF7L2	1	6
HS	RUVBL1	TCF7L1	1	6
HS	RUVBL1	CTNNB1	1	6
HS	CHD8	CTNNB1	1	7
HS	CTNNBIP1	CTNNB1	1	7
HS	NLK	LEF1	1	7
HS	NLK	LEF1	1	9
HS	NLK	TCF7	1	7
HS	NLK	TCF7	1	9
HS	NLK	TCF7L2	1	7
HS	NLK	TCF7L2	1	9
HS	NLK	TCF7L1	1	7
HS	NLK	TCF7L1	1	9
HS	MAP3K7	NLK	1	9
HS	CSNK1A1L	AXIN1	1	6
HS	CSNK1A1L	AXIN2	1	6
HS	CSNK1A1L	CTNNB1	1	6
HS	CSNK1A1	AXIN1	1	6
HS	CSNK1A1	AXIN2	1	6
HS	CSNK1A1	CTNNB1	1	6
HS	FBXW11	CTNNB1	1	10
HS	BTRC	CTNNB1	1	10
HS	TBL1X	APC2	1	6
HS	TBL1X	APC	1	6
HS	TBL1X	CTNNB1	1	10
HS	TBL1XR1	APC2	1	6
HS	TBL1XR1	APC	1	6
HS	TBL1XR1	CTNNB1	1	10
HS	TBL1Y	APC2	1	6
HS	TBL1Y	APC	1	6
HS	TBL1Y	CTNNB1	1	10
HS	APC2	CTNNB1	1	6
HS	APC2	DVL1	1	6
HS	APC2	DVL2	1	6
HS	APC2	DVL3	1	6
HS	APC	CTNNB1	1	6
HS	APC	DVL1	1	6
HS	APC	DVL2	1	6
HS	APC	DVL3	1	6
HS	NKD1	DVL1	1	4
