ENT_7157,ENT_1387,0.999
ENT_6934,ENT_1499,0.999
ENT_5970,ENT_1387,0.999
ENT_1385,ENT_1387,0.999
ENT_3065,ENT_5925,0.999
ENT_3065,ENT_4790,0.999
ENT_3725,ENT_2353,0.999
ENT_1869,ENT_5925,0.999
ENT_4089,ENT_4086,0.999
ENT_4609,ENT_4149,0.999
ENT_3065,ENT_6667,0.999
ENT_3725,ENT_1386,0.999
ENT_2962,ENT_2959,0.999
ENT_405,ENT_3091,0.999
ENT_6667,ENT_2099,0.999
ENT_5970,ENT_4790,0.999
ENT_2959,ENT_6908,0.999
ENT_6772,ENT_6773,0.998
ENT_6667,ENT_7157,0.998
ENT_3065,ENT_2099,0.998
ENT_1387,ENT_2099,0.998
ENT_367,ENT_1499,0.998
ENT_5970,ENT_3065,0.998
ENT_3065,ENT_7157,0.998
ENT_3091,ENT_1387,0.998
ENT_1499,ENT_1387,0.996
ENT_1810,ENT_6908,0.996
ENT_6667,ENT_6670,0.996
ENT_3725,ENT_467,0.996
ENT_6772,ENT_1387,0.996
ENT_3397,ENT_4654,0.994
ENT_4602,ENT_1387,0.994
ENT_6670,ENT_7157,0.992
ENT_4089,ENT_6667,0.992
ENT_6772,ENT_6774,0.992
ENT_3725,ENT_1387,0.992
ENT_7157,ENT_6908,0.992
ENT_3065,ENT_6670,0.992
ENT_6667,ENT_7528,0.992
ENT_5970,ENT_6667,0.992
ENT_2353,ENT_3726,0.989
ENT_2353,ENT_3727,0.986
ENT_3065,ENT_3091,0.986
ENT_3065,ENT_7528,0.985
ENT_2962,ENT_6908,0.984
ENT_367,ENT_1387,0.982
ENT_1869,ENT_6667,0.982
ENT_3172,ENT_1387,0.982
ENT_5970,ENT_2099,0.982
ENT_1386,ENT_1387,0.982
ENT_2353,ENT_1386,0.976
ENT_5970,ENT_5966,0.976
ENT_1385,ENT_7157,0.972
ENT_4790,ENT_5971,0.972
ENT_3065,ENT_6774,0.965
ENT_6667,ENT_5925,0.964
ENT_367,ENT_6667,0.963
ENT_5970,ENT_6774,0.962
ENT_1387,ENT_4654,0.962
ENT_3091,ENT_7157,0.962
ENT_4609,ENT_6667,0.962
ENT_2959,ENT_1387,0.962
ENT_3091,ENT_6667,0.962
ENT_7157,ENT_1958,0.962
ENT_1499,ENT_4790,0.962
ENT_7157,ENT_7528,0.96
ENT_3065,ENT_7050,0.96
ENT_367,ENT_3065,0.96
ENT_3065,ENT_1499,0.96
ENT_1051,ENT_2099,0.96
ENT_5970,ENT_5971,0.956
ENT_4773,ENT_3725,0.954
ENT_3725,ENT_468,0.952
ENT_4093,ENT_4089,0.949
ENT_468,ENT_1387,0.944
ENT_6772,ENT_2353,0.937
ENT_468,ENT_2353,0.937
ENT_3725,ENT_6908,0.935
ENT_5966,ENT_4790,0.927
ENT_3725,ENT_6667,0.922
ENT_4609,ENT_3065,0.921
ENT_2353,ENT_6908,0.92
